dt,gyro_z,v_meas,v_sigma,a_lat,mask_gnss,e_gnss,n_gnss
0.1000,0.004952,-1.0000,2.3166,-0.9491,1,584.647,-1409.482
0.1000,0.005638,-1.0000,2.3166,-1.3903,1,584.647,-1409.482
0.1000,0.006713,-1.0000,2.3166,2.6122,1,584.647,-1409.482
0.1000,0.006564,-1.0000,2.3166,1.3960,1,584.647,-1409.482
0.1000,0.004870,-1.0000,2.3166,-0.3366,1,584.647,-1409.482
0.1000,0.006386,-1.0000,2.3166,0.1534,1,584.647,-1409.482
0.1000,0.006217,-1.0000,2.3166,1.0254,1,584.647,-1409.482
0.1000,0.006918,-1.0000,2.3166,-1.4347,1,584.647,-1409.482
0.1000,0.003384,17.0669,2.3708,5.0830,1,584.647,-1409.482
0.1000,0.006143,-1.0000,2.3708,0.4040,1,584.647,-1409.482
0.1000,0.005082,-1.0000,2.3708,0.1728,1,584.647,-1409.482
0.1000,0.004221,-1.0000,2.3708,-1.3297,1,584.647,-1409.482
0.1000,0.005735,-1.0000,2.3708,0.8512,1,584.647,-1409.482
0.1000,0.005639,-1.0000,2.3708,0.0472,1,584.647,-1409.482
0.1000,0.004605,-1.0000,2.3708,-0.8352,1,584.647,-1409.482
0.1000,0.006023,-1.0000,2.3708,0.5718,1,584.647,-1409.482
0.1000,0.005610,-1.0000,2.3708,-0.2756,1,584.647,-1409.482
0.1000,0.006116,-1.0000,2.3708,-1.8460,1,584.647,-1409.482
0.1000,0.004205,15.6037,2.0335,1.3672,1,584.647,-1409.482
0.1000,0.004094,-1.0000,2.0335,2.4363,1,584.647,-1409.482
0.1000,0.004400,-1.0000,2.0335,-1.8127,1,584.647,-1409.482
0.1000,0.005631,-1.0000,2.0335,-0.4244,1,584.647,-1409.482
0.1000,0.004599,-1.0000,2.0335,-0.7156,1,584.647,-1409.482
0.1000,0.005100,-1.0000,2.0335,-2.6877,1,584.647,-1409.482
0.1000,0.005782,-1.0000,2.0335,-0.4629,1,584.647,-1409.482
0.1000,0.006406,-1.0000,2.0335,0.3805,1,584.647,-1409.482
